gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif
55889,2013,4,SEA,0.688,0.375,HOU,0.75,0.75,0,3-0-0,1.0,1.0,2-1-0,0.667,1.0,loss,0.0,-4.0,-4.0,-4.0,5.3125,19.667,19.667,19.667,10.4375,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.0625,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.125,-1.0,-1.0,-1.0,0.75,2.0,2.0,2.0,0.75
55890,2013,4,IND,0.688,0.5,JAC,0.125,0.125,1,2-1-0,0.667,1.0,0-3-0,0.0,0.0,loss,0.2,-21.333000000000002,-21.333000000000002,-21.333000000000002,-11.8125,6.667000000000001,6.667000000000001,6.667000000000001,-1.875,1.6669999999999998,1.6669999999999998,1.6669999999999998,1.5625,0.33299999999999996,0.33299999999999996,0.33299999999999996,1.6875,-0.667,-0.667,-0.667,-0.125,1.3330000000000002,1.3330000000000002,1.3330000000000002,-0.75
55891,2013,4,NYG,0.563,0.375,KC,0.125,0.125,0,0-3-0,0.0,0.0,3-0-0,1.0,1.0,win,0.0,12.333,12.333,12.333,-13.375,-20.333,-20.333,-20.333,5.3125,0.0,0.0,0.0,2.3125,4.333,4.333,4.333,1.3125,3.0,3.0,3.0,-1.5,-3.0,-3.0,-3.0,0.875
55892,2013,4,PIT,0.5,0.375,MIN,0.625,0.875,0,0-3-0,0.0,0.0,0-3-0,0.0,0.0,win,0.0,-5.0,-5.0,-5.0,1.9375,-11.333,-11.333,-11.333,1.375,3.333,3.333,3.333,1.4375,3.0,3.0,3.0,1.875,0.0,0.0,0.0,-0.0625,-3.0,-3.0,-3.0,-0.625
55893,2013,4,ARI,0.313,0.125,TB,0.43799999999999994,0.375,0,1-2-0,0.33299999999999996,0.0,0-3-0,0.0,0.0,loss,0.0,-7.667000000000001,-7.667000000000001,-7.667000000000001,-0.3125,-7.667000000000001,-7.667000000000001,-7.667000000000001,-6.6875,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.4375,1.6669999999999998,1.6669999999999998,1.6669999999999998,2.125,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.1875,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,-0.0625
55894,2013,4,NYJ,0.375,0.375,TEN,0.375,0.5,0,2-1-0,0.667,0.0,2-1-0,0.667,1.0,win,1.0,1.3330000000000002,1.3330000000000002,1.3330000000000002,-8.8125,1.6669999999999998,1.6669999999999998,1.6669999999999998,-5.875,0.0,0.0,0.0,1.75,2.667,2.667,2.667,2.3125,1.6669999999999998,1.6669999999999998,1.6669999999999998,-0.25,-2.333,-2.333,-2.333,-0.875
55895,2013,4,PHI,0.25,0.25,DEN,0.813,0.875,0,1-2-0,0.33299999999999996,1.0,3-0-0,1.0,1.0,win,0.0,18.667,18.667,18.667,12.0,-2.333,-2.333,-2.333,-10.25,1.6669999999999998,1.6669999999999998,1.6669999999999998,1.5625,2.667,2.667,2.667,2.3125,0.33299999999999996,0.33299999999999996,0.33299999999999996,-0.0625,-1.0,-1.0,-1.0,-1.5
55896,2013,4,WAS,0.625,0.625,OAK,0.25,0.375,0,0-3-0,0.0,0.0,1-2-0,0.33299999999999996,1.0,loss,0.0,-3.333,-3.333,-3.333,-9.5625,-10.333,-10.333,-10.333,3.0,1.0,1.0,1.0,1.625,2.0,2.0,2.0,0.875,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,-0.5,-0.667,-0.667,-0.667,1.0625
55897,2013,4,DAL,0.5,0.5,SD,0.43799999999999994,0.375,0,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,0.0,win,0.0,-1.0,-1.0,-1.0,0.0,9.333,9.333,9.333,-1.5,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.625,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.8125,-0.667,-0.667,-0.667,0.125,1.0,1.0,1.0,-0.8125
55898,2013,4,NE,0.75,0.75,ATL,0.813,0.875,0,3-0-0,1.0,1.0,1-2-0,0.33299999999999996,1.0,loss,0.0,-1.0,-1.0,-1.0,7.5,8.333,8.333,8.333,14.125,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.125,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.0,0.0,0.0,0.0,0.8125,1.0,1.0,1.0,1.5625
55899,2013,4,MIA,0.43799999999999994,0.25,NO,0.43799999999999994,0.5,0,3-0-0,1.0,1.0,3-0-0,1.0,1.0,win,0.0,10.667,10.667,10.667,0.4375,7.0,7.0,7.0,-1.8125,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.625,0.667,0.667,0.667,0.125,0.667,0.667,0.667,-0.625
55900,2013,5,BUF,0.375,0.25,CLE,0.313,0.5,0,2-2-0,0.5,0.0,2-2-0,0.5,0.5,win,-1.0,-1.5,2.333,-1.5,-4.125,-1.25,-1.0,-1.25,-5.6875,1.75,1.3330000000000002,1.75,1.625,1.75,1.6669999999999998,1.75,2.125,0.0,0.667,0.0,0.1875,1.0,1.0,1.0,-0.8125
55901,2013,5,NO,0.43799999999999994,0.375,CHI,0.625,0.625,0,4-0-0,1.0,1.0,3-1-0,0.75,1.0,loss,-1.0,3.25,3.333,3.25,6.125,13.25,15.667,13.25,0.4375,2.25,2.667,2.25,1.5,1.25,1.3330000000000002,1.25,1.5,1.25,1.0,1.25,1.25,1.25,1.3330000000000002,1.25,0.125
55902,2013,5,NE,0.75,0.75,CIN,0.625,0.5,0,4-0-0,1.0,1.0,2-2-0,0.5,1.0,win,0.0,0.0,1.0,0.0,4.4375,8.0,10.0,8.0,14.125,2.25,2.0,2.25,1.625,1.0,0.33299999999999996,1.0,1.0,-0.5,0.0,-0.5,0.25,1.0,1.6669999999999998,1.0,1.5625
55903,2013,5,DET,0.25,0.25,GB,0.688,0.875,1,3-1-0,0.75,0.5,1-2-0,0.33299999999999996,1.0,win,0.6000000000000001,2.667,2.667,5.25,6.0625,5.25,3.667,5.25,-4.0625,2.333,2.333,2.333,1.0,1.75,1.6669999999999998,1.75,2.0625,-0.667,-0.667,-0.667,0.4375,1.0,0.667,1.0,-1.0
