gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
56947,2016,3,CHI,0.375,0.625,DAL,0.25,0.125,0,0-2-0,0.0,0.0,1-1-0,0.5,0.0,win,1.0,1.5,1.5,1.5,-6.1875,-12.0,-12.0,-12.0,-3.875
56948,2016,3,ATL,0.5,0.5,NO,0.43799999999999994,0.5,1,1-1-0,0.5,1.0,0-2-0,0.0,0.0,loss,-0.2,-2.0,-2.0,-2.0,-4.25,0.0,0.0,0.0,-0.375
56949,2016,4,MIA,0.375,0.375,CIN,0.75,0.75,0,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,0.0,win,0.0,-6.332999999999999,-6.332999999999999,-6.332999999999999,8.75,-1.0,-1.0,-1.0,-4.9375
56950,2016,4,IND,0.5,0.5,JAX,0.313,0.5,1,1-2-0,0.33299999999999996,0.0,0-3-0,0.0,0.0,win,-1.0,-7.332999999999999,-7.332999999999999,-7.332999999999999,-4.5,-4.667,-4.667,-4.667,-4.6875
56951,2016,4,CAR,0.938,0.875,ATL,0.5,0.5,1,1-2-0,0.33299999999999996,0.0,2-1-0,0.667,0.0,win,0.2,4.333,4.333,4.333,-0.375,2.0,2.0,2.0,12.0
56952,2016,4,OAK,0.43799999999999994,0.5,BAL,0.313,0.375,0,2-1-0,0.667,1.0,3-0-0,1.0,1.0,loss,-1.0,4.333,4.333,4.333,-4.5625,0.33299999999999996,0.33299999999999996,0.33299999999999996,-2.5
56953,2016,4,DET,0.43799999999999994,0.375,CHI,0.375,0.125,1,1-2-0,0.33299999999999996,0.5,0-3-0,0.0,0.0,win,-1.0,-12.667,-12.667,-12.667,-3.875,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,-2.625
56954,2016,4,TEN,0.188,0.25,HOU,0.563,0.625,1,1-2-0,0.33299999999999996,1.0,2-1-0,0.667,1.0,win,0.6000000000000001,-3.667,-3.667,-3.667,1.625,-5.0,-5.0,-5.0,-7.75
56955,2016,4,BUF,0.5,0.375,NE,0.75,0.875,1,1-2-0,0.33299999999999996,0.0,3-0-0,1.0,1.0,loss,0.6000000000000001,12.0,12.0,12.0,9.375,1.0,1.0,1.0,1.25
56956,2016,4,SEA,0.625,0.625,NYJ,0.625,0.75,0,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,0.0,loss,0.0,-5.332999999999999,-5.332999999999999,-5.332999999999999,4.5625,5.0,5.0,5.0,9.125
56957,2016,4,CLE,0.188,0.125,WAS,0.563,0.75,0,0-3-0,0.0,0.0,1-2-0,0.33299999999999996,0.0,win,0.0,-8.0,-8.0,-8.0,0.5625,-10.0,-10.0,-10.0,-9.625
56958,2016,4,DEN,0.75,0.75,TB,0.375,0.375,0,3-0-0,1.0,1.0,1-2-0,0.33299999999999996,0.0,loss,0.0,-10.333,-10.333,-10.333,-4.6875,9.0,9.0,9.0,3.6875
56959,2016,4,LA,0.43799999999999994,0.25,ARI,0.813,0.75,1,2-1-0,0.667,0.5,1-2-0,0.33299999999999996,0.5,loss,1.0,5.332999999999999,5.332999999999999,5.332999999999999,11.0,-5.667000000000001,-5.667000000000001,-5.667000000000001,-3.125
56960,2016,4,NO,0.43799999999999994,0.375,SD,0.25,0.375,0,0-3-0,0.0,0.0,1-2-0,0.33299999999999996,1.0,loss,0.0,4.667,4.667,4.667,-4.875,-5.667000000000001,-5.667000000000001,-5.667000000000001,-4.25
56961,2016,4,DAL,0.25,0.375,SF,0.313,0.5,0,2-1-0,0.667,1.0,1-2-0,0.33299999999999996,1.0,loss,1.0,-3.333,-3.333,-3.333,-9.3125,5.667000000000001,5.667000000000001,5.667000000000001,-6.1875
56962,2016,4,KC,0.688,0.625,PIT,0.625,0.75,0,2-1-0,0.667,0.0,2-1-0,0.667,1.0,win,0.33399999999999996,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,6.5,6.667000000000001,6.667000000000001,6.667000000000001,7.375
56963,2016,4,NYG,0.375,0.375,MIN,0.688,0.75,0,2-1-0,0.667,1.0,3-0-0,1.0,1.0,win,1.0,8.0,8.0,8.0,3.9375,0.667,0.667,0.667,-1.375
56964,2016,5,ARI,0.813,0.875,SF,0.313,0.5,1,1-3-0,0.25,0.0,1-3-0,0.25,0.5,loss,-0.6000000000000001,-4.25,-15.0,-4.25,-9.3125,3.0,4.667,3.0,11.0
56965,2016,5,WAS,0.563,0.375,BAL,0.313,0.375,0,2-2-0,0.5,1.0,3-1-0,0.75,0.5,loss,0.0,3.0,2.0,3.0,-4.5625,-3.25,3.0,-3.25,0.5625
56966,2016,5,NE,0.75,0.625,CLE,0.188,0.25,0,3-1-0,0.75,1.0,0-4-0,0.0,0.0,loss,0.0,-10.25,-7.332999999999999,-10.25,-9.625,5.0,6.0,5.0,9.375
56967,2016,5,PHI,0.43799999999999994,0.5,DET,0.43799999999999994,0.5,0,3-0-0,1.0,1.0,1-3-0,0.25,0.0,win,1.0,-1.75,-3.667,-1.75,-2.625,21.666999999999998,21.666999999999998,16.0,-3.3125
56968,2016,5,CHI,0.375,0.625,IND,0.5,0.5,0,1-3-0,0.25,0.0,1-3-0,0.25,0.5,win,0.0,-4.25,-4.333,-4.25,-4.6875,-8.75,-8.667,-8.75,-3.875
56969,2016,5,TEN,0.188,0.25,MIA,0.375,0.375,0,1-3-0,0.25,0.5,1-3-0,0.25,1.0,loss,1.0,-4.5,-5.332999999999999,-4.5,-4.9375,-5.5,-4.333,-5.5,-7.75
56970,2016,5,HOU,0.563,0.5,MIN,0.688,0.75,0,3-1-0,0.75,0.0,4-0-0,1.0,1.0,win,0.0,9.5,9.667,9.5,3.9375,-1.0,-4.333,-1.0,1.625
56971,2016,5,NYJ,0.625,0.5,PIT,0.625,0.75,0,1-3-0,0.25,0.5,3-1-0,0.75,1.0,win,-1.0,7.0,2.0,7.0,6.5,-6.5,-8.333,-6.5,4.5625
56972,2016,5,ATL,0.5,0.5,DEN,0.75,0.75,0,3-1-0,0.75,1.0,4-0-0,1.0,1.0,loss,0.0,11.75,15.333,11.75,3.6875,7.0,11.667,7.0,-0.375
56973,2016,5,CIN,0.75,0.75,DAL,0.25,0.125,0,2-2-0,0.5,0.5,3-1-0,0.75,0.5,win,0.0,6.0,8.333,6.0,-6.1875,-1.0,-1.6669999999999998,-1.0,8.75
56974,2016,5,BUF,0.5,0.375,LA,0.43799999999999994,0.625,0,2-2-0,0.5,0.5,3-1-0,0.75,1.0,loss,0.0,-3.25,5.0,-3.25,-3.125,4.75,8.333,4.75,1.25
56975,2016,5,SD,0.25,0.125,OAK,0.43799999999999994,0.375,1,1-3-0,0.25,0.0,3-1-0,0.75,0.0,win,0.2,0.5,0.33299999999999996,0.5,-2.5,3.25,6.332999999999999,3.25,-4.875
56976,2016,5,NYG,0.375,0.375,GB,0.625,0.625,0,2-2-0,0.5,0.5,2-1-0,0.667,1.0,win,1.0,2.667,2.667,3.75,2.8125,-3.0,-4.333,-3.0,-1.375
56977,2016,5,TB,0.375,0.375,CAR,0.938,1.0,1,1-3-0,0.25,0.5,1-3-0,0.25,0.5,loss,0.6000000000000001,-2.25,-2.667,-2.25,12.0,-12.75,-19.333,-12.75,-4.6875
56978,2016,6,DEN,0.75,0.75,SD,0.25,0.375,1,4-1-0,0.8,1.0,1-4-0,0.2,0.5,win,-1.0,2.0,-2.667,2.0,-4.875,8.0,8.333,8.0,3.6875
56979,2016,6,SF,0.313,0.125,BUF,0.5,0.625,0,1-4-0,0.2,0.0,3-2-0,0.6,0.5,win,0.0,6.0,14.0,6.0,1.25,-5.8,-12.667,-5.8,-9.3125
56980,2016,6,JAX,0.313,0.125,CHI,0.375,0.125,0,1-3-0,0.25,0.0,1-4-0,0.2,0.5,loss,0.0,-8.2,-5.667000000000001,-8.2,-3.875,-4.75,-7.667000000000001,-3.6,-4.5
56981,2016,6,LA,0.43799999999999994,0.25,DET,0.43799999999999994,0.5,0,3-2-0,0.6,0.667,2-3-0,0.4,0.5,win,0.0,-1.2,-3.0,-1.2,-2.625,-4.8,-0.667,-4.8,-3.125
